Código,Nome,Dependências,Período,Duração
ARQ208,GEOMETRIA DESCRITIVA,,1,1
EFD301,EDUCACAO FISICA E DESPORTOS I,,1,1
GEO151,GEOLOGIA GERAL,,1,1
MTM122,CALCULO DIFERENCIAL E INTEGRAL I,,1,1
MTM131,GEOMETRIA ANALITICA E CALCULO VETORIAL,,1,1
QUI200,QUIMICA GERAL,,1,1
ARQ209,DESENHO TECNICO,ARQ208,2,1
BCC701,PROGRAMACAO DE COMPUTADORES I,,2,1
EFD302,EDUCACAO FISICA E DESPORTOS II,,2,1
FIS130,FISICA I,MTM122;   MTM131,2,1
GEO104,MINERALOGIA,,2,1
GEO239,CRISTALOGRAFIA,,2,1
MTM112,INTRODUCAO A ALGEBRA LINEAR,MTM131,2,1
MTM123,CALCULO DIFERENCIAL E INTEGRAL II,MTM122,2,1
ARQ202,TOPOGRAFIA A,ARQ209,3,1
FIS131,FISICA II,FIS130;       MTM123,3,1
FIS132,FISICA III,FIS130      MTM123,3,1
GEO152,PETROGRAFIA MACROSCOPICA,GEO104;    GEO151;    QUI200,3,1
MTM124,CALCULO DIFERENCIAL E INTEGRAL III,MTM123,3,1
MTM125,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,MTM112;     MTM122,3,1
QUI147,QUIMICA ORGANICA,QUI200,3,1
FIS133,FISICA IV,FIS132;      MTM125,4,1
FIS214,MECANICA RACIONAL,FIS130;        MTM124;     MTM125,4,1
GEO132,OPTICA CRISTALINA,GEO104;     GEO239,4,1
GEO147,PALEONTOLOGIA I,GEO151,4,1
GEO153,SEDIMENTOLOGIA,GEO104;    GEO151;    QUI200,4,1
QUI117,FISICO-QUIMICA,QUI200,4,1
BCC760,CALCULO NUMERICO,BCC701;      MTM124;     MTM125,5,1
FIS215,MECANICA DO CONTINUO,FIS131       FIS214,5,1
GEO148,PALEONTOLOGIA II,GEO147,5,1
GEO154,DESENHO GEOLOGICO,ARQ202;      ARQ208;      GEO152,5,1
GEO155,ESTRATIGRAFIA,GEO152;     GEO153,5,1
GEO156,GEOMORFOLOGIA,ARQ202;    GEO152,5,1
GEO232,PETROLOGIA MAGMATICA,GEO132;     GEO152;     QUI117,5,1
EST202,ESTATISTICA E PROBABILIDADE,MTM122,6,1
GEO157,PETROLOGIA METAMORFICA,GEO232,6,1
GEO158,GEOQUIMICA,GEO232;    QUI117,6,1
GEO159,GEOLOGIA ESTRUTURAL,GEO154;    GEO155,6,1
GEO216,SENSORIAMENTO REMOTO,GEO154;    GEO155;     GEO156,6,1
GEO270,TECNICAS LEVANTAMENTOS ESTRATIGRAFICOS-PARTES I/II,GEO155,6,1
AMB110,ENGENHARIA AMBIENTAL BASICA,1800 horas,7,1
GEO142,CARTOGRAFIA DIGITAL,,7,1
GEO161,GEOFISICA,FIS133;       FIS214;       GEO159,7,1
GEO229,PETROLOGIA SEDIMENTAR,GEO132;     GEO152;     GEO153,7,1
GEO272,GEOLOGIA DE CAMPO,GEO159;    GEO216,7,1
GEO293,HIDROGEOLOGIA,GEO159,7,1
GEO163,GEOLOGIA ECONOMICA,GEO158;     GEO159,8,1
GEO164,PEDOLOGIA,GEO156;     GEO158,8,1
GEO167,GEOTECTONICA,GEO158;     GEO159,8,1
GEO297,GEOLOGIA DE ENGENHARIA,GEO272;     GEO293,8,1
GEO393,ESTAGIO SUPERVISIONADO,GEO132;     GEO154;     GEO155,8,1
GEO493,MAPEAMENTO GEOLOGICO,GEO157;     GEO270;    GEO272,8,1
PRO241,ECONOMIA I,1650 horas,8,1
PRO243,ORGANIZACAO E ADMINISTRACAO I,1650 horas,8,1
GEO143,GEOLOGIA HISTORICA,GEO167,9,1
GEO165,GEOLOGIA AMBIENTAL,AMB110;      GEO293,9,1
GEO166,GEOLOGIA DO BRASIL,GEO167,9,1
GEO299,PESQUISA MINERAL,EST202;      GEO161;     GEO163,9,1
GEO367,RECURSOS ENERGETICOS,GEO163,9,1
TCC401,TRABALHO DE CONCLUSAO DE CURSO I,GEO163;     GEO164;     GEO493,9,1
DIR250,INTRODUCAO AO DIREITO E LEGISLACAO,2400 horas,10,1
MIN244,ECONOMIA MINERAL BRASILEIRA,2400 horas,10,1
PRO242,ECONOMIA II,PRO241,10,1
PRO244,ORGANIZACAO E ADMINISTRACAO II,PRO243,10,1
TCC402,TRABALHO DE CONCLUSAO DE CURSO II,TCC401,10,1